timestep_time,vehicle_angle,vehicle_id,vehicle_x,vehicle_y
21,331.31,veh7,2631.45,573.53
21,79.78,veh8,168.42,1195.09
21,96.96,veh9,2200.68,1395.71
22,32.14,bus0,2527.2,1011.98
22,176.35,bus1,664.74,1439.26
22,62.85,bus2,530.21,1337.75
22,218.07,veh0,2114.99,653.43
22,114.83,veh1,1262.4,1432.94
22,77.99,veh10,2279.41,631.83
22,104.94,veh2,2273.39,502.7
22,355.38,veh3,1382.67,600.46
22,84.96,veh4,717.72,844.1
22,79.78,veh5,208.51,1202.32
22,140.63,veh6,595.62,1199.22
22,331.31,veh7,2628.32,579.25
22,79.78,veh8,175.72,1196.41
22,96.94,veh9,2206.77,1394.97
23,32.14,bus0,2527.2,1011.98
23,176.35,bus1,664.74,1439.26
23,62.85,bus2,534.69,1340.05
23,218.07,veh0,2114.99,653.43
23,114.83,veh1,1269.39,1429.7
23,77.99,veh10,2287.79,633.61
23,355.27,veh11,994.45,705.74
23,104.94,veh2,2286.1,499.31
23,355.38,veh3,1381.95,609.31
23,85.44,veh4,725.55,844.73
23,79.78,veh5,214.84,1203.46
23,128.84,veh6,600.41,1194.96
23,331.31,veh7,2625.02,585.28
23,79.78,veh8,182.27,1197.59
23,96.94,veh9,2215.02,1393.96
24,31.8,bus0,2527.78,1012.92
24,176.35,bus1,664.8,1438.31
24,60.49,bus2,539.53,1343.09
24,3.06,bus3,943.09,1234.07
24,218.07,veh0,2114.99,653.43
24,114.83,veh1,1276.43,1426.44
24,77.99,veh10,2296.67,635.5
24,355.27,veh11,994.29,707.7
24,104.94,veh2,2299.33,495.78
24,355.38,veh3,1381.3,617.43
24,86.72,veh4,733.46,845.21
24,79.78,veh5,221.23,1204.61
24,68.12,veh6,607.75,1196.12
24,327.83,veh7,2621.37,591.18
24,79.78,veh8,189.15,1198.83
24,96.94,veh9,2224.65,1392.79
25,31.13,bus0,2528.57,1014.45
25,176.04,bus1,664.98,1436.49
25,38.42,bus2,541.73,1348.84
25,3.02,bus3,943.13,1234.9
25,218.07,veh0,2114.99,653.43
25,114.83,veh1,1280.33,1424.64
25,77.99,veh10,2304.35,637.13
25,355.27,veh11,993.96,711.64
25,278.78,veh12,2661.75,480.26
25,104.95,veh2,2308.31,493.38
25,355.38,veh3,1380.64,625.61
25,91.77,veh4,741.87,845.11
25,79.78,veh5,227.37,1205.72
25,47.3,veh6,613.8,1201.38
25,327.83,veh7,2617.8,596.86
25,79.78,veh8,196.03,1200.07
25,96.94,veh9,2235.26,1391.5
26,30.18,bus0,2529.71,1016.67
26,175.58,bus1,665.24,1433.87
26,351.53,bus2,539.02,1355.87
26,2.96,bus3,943.22,1236.63
26,218.07,veh0,2114.99,653.43
26,114.54,veh1,1285.68,1422.19
26,77.99,veh10,2312.36,638.84
26,355.27,veh11,993.53,716.9
26,278.78,veh12,2647.7,482.43
26,104.88,veh2,2313.46,492.01
26,355.38,veh3,1379.98,633.69
26,85.48,veh4,750.03,845.63
26,79.78,veh5,233.4,1206.81
26,47.3,veh6,620.16,1207.25
26,327.83,veh7,2614.51,602.09
26,79.78,veh8,203.18,1201.36
26,95.16,veh9,2246.29,1389.04
27,28.9,bus0,2531.27,1019.69
27,174.97,bus1,665.59,1430.42
27,333.77,bus2,535.32,1363.33
27,2.96,bus3,943.35,1239.16
27,218.07,veh0,2114.99,653.43
27,114.49,veh1,1292.44,1419.11
27,77.99,veh10,2320.24,640.51
27,355.27,veh11,992.98,723.48
27,278.05,veh12,2633.74,484.52
27,329.06,veh13,1500.24,893.33
27,104.85,veh2,2314.72,491.68
27,355.38,veh3,1379.28,642.35
27,85.48,veh4,758.29,846.28
27,79.78,veh5,239.6,1207.92
27,47.25,veh6,625.7,1212.37
27,327.83,veh7,2610.96,607.72
27,79.78,veh8,210.76,1202.72
27,92.89,veh9,2257.3,1388.48
28,22.98,bus0,2532.33,1023.69
28,174.25,bus1,666.02,1426.11
28,333.6,bus2,531.7,1370.63
28,2.96,bus3,943.53,1242.56
28,218.07,veh0,2114.99,653.43
28,114.44,veh1,1299.09,1416.09
