timestep_time,vehicle_angle,vehicle_id,vehicle_x,vehicle_y
25,125.35,veh2,2118.81,1847.41
25,322.34,veh3,2521.72,1361.8
25,214.11,veh4,2451.92,1418.57
25,83.32,veh5,566.1,1433.15
25,331.4,veh7,587.9,707.82
25,142.98,veh8,776.43,1225.08
25,341.04,veh9,1824.33,448.32
26,11.99,veh0,1168.56,463.88
26,304.61,veh1,2172.55,1813.75
26,341.04,veh10,1832.33,425.06
26,154.12,veh11,339.29,896.38
26,341.04,veh13,1840.44,401.44
26,243.7,veh14,1621.67,1643.71
26,266.41,veh15,768.89,1441.83
26,343.8,veh16,1854.7,359.41
26,188.78,veh17,607.24,1824.19
26,103.92,veh18,281.85,1473.38
26,224.72,veh19,2331.41,1768.3
26,125.35,veh2,2125.19,1842.89
26,322.34,veh3,2517.89,1366.76
26,214.11,veh4,2447.3,1411.74
26,83.32,veh5,576.77,1434.39
26,331.4,veh7,587.89,707.85
26,142.98,veh8,783.36,1215.9
26,341.04,veh9,1820.27,460.15
27,14.19,veh0,1171.92,477.36
27,304.83,veh1,2166.7,1817.82
27,341.04,veh10,1828.55,436.05
27,152.9,veh11,342.77,889.57
27,341.04,veh13,1836.52,412.84
27,216.13,veh14,1616.84,1638.28
27,266.41,veh15,760.21,1441.28
27,341.04,veh16,1850.68,371.65
27,188.78,veh17,605.4,1812.28
27,103.92,veh18,288.81,1471.66
27,228.02,veh19,2322.1,1759.31
27,125.26,veh2,2131.89,1838.14
27,312.41,veh3,2512.79,1371.94
27,214.11,veh4,2442.88,1405.22
27,75.36,veh5,587.48,1436.47
27,331.4,veh7,587.88,707.86
27,142.98,veh8,790.58,1206.32
27,341.04,veh9,1816.08,472.34
28,14.19,veh0,1175.27,490.58
28,304.83,veh1,2161.12,1821.71
28,341.04,veh10,1824.72,447.2
28,152.9,veh11,347.15,881.01
28,341.04,veh13,1832.42,424.77
28,185.1,veh14,1615.26,1631.12
28,266.41,veh15,751.33,1440.73
28,341.04,veh16,1846.22,384.62
28,188.78,veh17,603.49,1799.92
28,103.92,veh18,295.19,1470.08
28,234.34,veh19,2312.1,1752.13
28,124.83,veh2,2138.05,1833.86
28,262.11,veh21,1605.85,955.44
28,251.55,veh3,2506.56,1371.18
28,214.11,veh4,2438.11,1398.18
28,51.33,veh5,595.65,1441.82
28,331.4,veh7,587.88,707.86
28,142.98,veh8,797.83,1196.71
28,341.01,veh9,1812.23,483.54
29,12.06,veh0,1178.27,504.53
29,304.83,veh1,2154.83,1826.08
29,341.04,veh10,1821.09,457.75
29,152.9,veh11,352.31,870.92
29,341.04,veh13,1828.49,436.21
29,175.34,veh14,1615.63,1622.97
29,266.41,veh15,742.32,1440.16
29,341.04,veh16,1841.83,397.4
29,188.78,veh17,601.53,1787.22
29,103.92,veh18,302.01,1468.39
29,234.34,veh19,2302.4,1745.17
29,124.83,veh2,2144.03,1829.7
29,262.11,veh21,1603.62,955.13
29,288.7,veh22,1373.87,278.43
29,228.72,veh3,2499.85,1365.29
29,214.11,veh4,2433.79,1391.79
29,50.59,veh5,599.77,1445.2
